Disease,Symptoms,Treatments
Lipoedema,"['People with lipoedema usually have a small waist, but large hips and thighs. Their upper body and lower body can be completely different sizes. This makes it difficult to shop for clothes that fit right.', 'Symptoms can include:', 'enlargement of your legs, and in some cases arms, but usually not your feet or hands', 'pain, discomfort, heaviness or tenderness affected areas', 'affected areas of your body can bruise easily, sometimes for no obvious reason', 'dimpled legs with a lumpy texture, fat may bulge at the knees', 'swelling that gets worse in the afternoon, evening, after activity or in hot weather', 'spider veins or varicose veins on your legs', 'difficulty walking due to changes in your leg shape, heavy legs, or ‘flat-feet’']","['Treatment will depend on your symptoms and how they’re affecting you. If your doctor thinks you have lipoedema they may refer you to a specialist for treatment.', 'Although there’s no cure, there are things which may help.']"
Liver cancer,"['Symptoms of\xa0liver cancer are often vague and don’t appear until the cancer is at an advanced stage. They can\xa0include:', 'unexplained weight loss', 'loss of appetite', 'feeling very full after eating, even if the meal was small', 'feeling sick and vomiting', 'pain or swelling\xa0in your abdomen (tummy)', 'jaundice (yellowing of your skin and the whites of your eyes)', 'itchy skin', 'feeling very tired and weak']","['Sorafenib is a medication given in tablet form that can disrupt the blood supply to liver tumours and slow down their growth.', 'It is sometimes used as a treatment for advanced cases of liver cancer, although it is not routinely available on the NHS because the National Institute for Health and Care Excellence (NICE) has said the cost of the medication is high for the limited benefit it offers.', 'Whether or not you are eligible for sorafenib will be decided by your medical team, and will depend on the likelihood of whether\xa0you will significantly benefit from the medication.', 'For more information, see the NICE guidelines on sorafenib for the treatment of advanced hepatocellular carcinoma .']"
Liver disease,"['The liver is the second largest organ in the body. It works hard, performing hundreds of complex functions, including:', 'fighting infections and illness', 'removing toxins (poisons), such as alcohol ,\xa0from the body', 'controlling\xa0cholesterol levels', 'helping blood to clot (thicken)', 'releasing bile, a liquid that breaks down fats and aids digestion']",['Information not available']
Liver tumours,"['The most common symptom is a lump or swelling in the abdomen, which can be painful. Other possible symptoms include weight loss, a loss of appetite, feeling sick (nausea) and being sick (vomiting).']","['This is rarer and usually occurs in older children.', 'More children than ever are surviving childhood cancer. There are new and better drugs and treatments, and we can now also work to reduce the after-effects of having had cancer in the past.', 'It’s devastating to hear that your child has cancer. At times it can feel overwhelming but there are many healthcare professionals and support organisations to help you through this difficult time.', 'Understanding more about the cancer your child has and the treatments that may be used can often help parents to cope. Your child’s specialist will give you more detailed information and if you have any questions it’s important to ask the specialist doctor or nurse who knows your child’s individual situation.']"
Long-term effects of COVID-19,['Information on what the symptoms of long COVID are and when to get help'],"[""Information for unpaid carers, including if you're looking after someone with long COVID""]"
Loss of libido,"['The first thing you should consider is whether you’re happy in your relationship. Do you have any doubts or worries that may be the real reason for your loss of sexual desire?', 'If you’ve been in a relationship for a long time, you may have become overfamiliar with your partner and feel a degree of erotic dissatisfaction. This is quite common and can have a negative effect on your sex drive.', 'Relationship problems are among the most common causes of loss of libido. For help and advice, you\xa0may find it useful to contact the relationship support charity Relationships Scotland .', 'Another thing to consider is whether the problem is a performance issue that makes sex difficult or unfulfilling. For example, many men experience ejaculation problems or erectile dysfunction , and women can experience painful sex or vaginismus (when the muscles around the vagina tighten involuntarily before penetration). See your GP if these problems are an issue, as they’re often treatable.', 'Your GP may feel you will benefit from psychosexual counselling. This is a form of relationship therapy where you and your partner can discuss any sexual or emotional issues that may be contributing to your loss of libido.']","['Many people lose some interest in sex as they get older, mainly as a result of falling levels of sex hormones, age-related health problems, or the side effects of medication.', 'Older men especially can develop low testosterone levels, which can cause fatigue, depression and a reduced sex drive.', 'Speak to your GP if you’re concerned about this. They may carry out a blood test to check your testosterone level and can tell you about treatments if your level is low.', 'As women start to approach the menopause , levels of the female hormone oestrogen begin to fall, which can affect libido. Women can also suffer from low testosterone levels, especially after a hysterectomy . Testosterone is another hormone\xa0that can affect sex drive.', 'Speak to your GP if you’re concerned the menopause may be having an effect on your libido. They may be able to offer you a trial of hormone replacement therapy\xa0(HRT) if it’s suitable for you.']"
Low blood pressure,"['Most people with low blood pressure won’t have any symptoms, but some may experience:', 'light-headedness or dizziness', 'fainting', 'blurred vision', 'confusion', 'feeling sick', 'general weakness']","['If you’ve got symptoms of low blood pressure, your healthcare professional will try to find out why. This means they can help you to manage the cause of your low blood pressure.', 'They may:', 'consider making changes to any medicines that may be contributing to your low blood pressure', 'suggest making small lifestyle changes', 'suggest making dietary changes, including looking at your salt intake']"
Lung cancer,"['Speak to your GP if you have symptoms of lung cancer , such as breathlessness or a persistent cough.', 'Your GP will ask about your general health and what symptoms you’ve been experiencing. They may examine you and ask you to breathe into a device called a spirometer, which measures how much air you breathe in and out.', 'You may be asked to have a blood test to rule out some of the possible causes of your symptoms, such as a chest infection .', 'In 2015, the National Institute for Health and Care Excellence (NICE) published guidelines to help GPs recognise the signs and symptoms of lung cancer and refer people for the right tests faster. To find out if you should be referred for further tests for suspected lung cancer.']","['Radiotherapy is a type of treatment that uses pulses of radiation to destroy cancer cells. There are a number of ways it can be used to treat people with lung cancer.', 'An intensive course of radiotherapy, known as radical radiotherapy, can be used to try to cure non-small-cell lung cancer if the person isn’t healthy enough for surgery. For very small tumours, a special type of radiotherapy called stereotactic radiotherapy may be used instead of surgery.', 'Radiotherapy can also be used to control the symptoms and slow the spread of cancer when a cure isn’t possible (this is known as palliative radiotherapy).', 'A type of radiotherapy known as prophylactic cranial irradiation (PCI) is also sometimes used during the treatment of small-cell lung cancer. PCI involves treating the whole brain with a low dose of radiation. It’s used as a preventative measure because there’s a risk that small-cell lung cancer will spread to your brain.', 'The 3 main\xa0ways that radiotherapy can be given are described below:']"
Lupus,"['SLE can cause a wide range of symptoms, depending on the areas of the body that are affected. The most common symptoms are:', 'fatigue (extreme tiredness)', 'rashes – particularly on the face, wrists and hands', 'joint pain\xa0and swelling', 'As the\xa0symptoms of SLE can be similar to a number of other conditions, many of which are more common, it can be difficult to diagnose.']","['There is currently no cure for systemic lupus erythematosus (SLE), but treatments that can ease the symptoms and make it easier to live with are available.', 'In most cases, treatment will involve a combination of self-care measures and medication.']"
Lyme disease,"['Diagnosing Lyme disease is often difficult. Many of the symptoms are similar to other conditions.', 'There are 2 kinds of blood test used to diagnose Lyme disease. The tests are not always accurate in the early stages of Lyme disease. You may need to be tested more than once if you still have symptoms after a negative result.']",['Information not available']
Lymphoedema,"['The main symptom of lymphoedema is swelling in all or part of a limb or another part of the body, which can cause problems fitting into clothes, or jewellery and watches starting to feel tight.', 'At first, the swelling may come and go. It may get worse during the day and then go down overnight. Without treatment, it will usually become more severe and persistent.', 'Other symptoms in an affected body part can include:', 'an aching, heavy feeling', 'difficulty with movement', 'repeated skin infections', 'the skin becoming hard and tight', 'folds developing in the skin', 'wart-like growths developing on the skin', 'a leakage of fluid through the skin']","['Living with a chronic (long-term) condition that affects your appearance, such as lymphoedema, can cause a great deal of distress and lead to periods of depression .', 'If you have been feeling particularly down for the last few months and you no longer take pleasure in the things you usually enjoy, you may be depressed. If this is the case, talk to your GP or members of your lymphoedema treatment team, because there are effective treatments for depression.', 'Talking to other people who also have lymphoedema can be reassuring and decrease feelings of isolation, stress and anxiety. The Lymphoedema Support Network offers information and advice, and can put you in touch with a support group in your area.', 'Remember: if you persevere with your treatment plan, your symptoms should eventually become less noticeable.', 'Read more about treating lymphoedema']"
Lymphogranuloma venereum (LGV),"['Most people with LGV don’t notice any symptoms and don’t know they have it. So it’s important to get tested if you think you’re infected.', 'If you do develop symptoms, you may experience:', 'swollen lymph glands in the groin (in one or both sides)', 'an ulcer or sore on the penis, vagina or around the anus', 'You may notice some anal symptoms such as:']","['Antibiotics will treat the LGV infection.', 'The result of the LGV test can take 3 weeks to come back, so your doctor may advise you to start treatment before the final result is available.', 'If left untreated, LGV can cause scarring and swelling of the skin. It can also cause permanent swelling of the genitals. Rectal infection can also cause swelling and scarring resulting in the risk of long-term bowel complications. Rarely the infection may spread via the bloodstream causing inflammation of the joints or liver.', 'To avoid passing LGV on to your partner(s) you should avoid having sex until both you and your partner have finished your treatment.']"
Malaria,"['It’s important to be aware of the symptoms of malaria if you’re travelling to areas where there’s a high risk of the disease. This means that you can get medical attention quickly.', 'Symptoms are similar to those of flu and usually appear 6 to 30 days after the mosquito bite, but it can sometimes take up to a year for symptoms to start.', 'The initial symptoms of malaria include:', 'a high temperature (fever)', 'headache', 'sweats', 'chills', 'muscle aches or pains', 'vomiting and or diarrhoea']","['If malaria is diagnosed and treated quickly, you should fully recover. Treatment should be started as soon as possible.', 'Treatment begins in a hospital to make sure complications don’t suddenly develop. Treatment is with tablets or capsules. If someone is very ill, treatment will be given through a drip into a vein in the arm (intravenously).', 'Treatment for malaria can leave you feeling very tired and weak for several weeks.', 'The type of medicine and how long you need to take it will depend on:', 'the type of malaria you have', 'the severity of your symptoms', 'whether you took preventative antimalarial tablets', 'your age', 'whether you’re pregnant']"
Malignant brain tumour (cancerous),"['The symptoms of a malignant brain tumour depend on how big it is and where it is in the brain.', 'Common symptoms include:', 'severe, persistent headaches', 'seizures (fits)', 'persistent nausea, vomiting and drowsiness', 'mental or behavioural changes, such as memory problems or changes in personality', 'progressive weakness or paralysis on one side of the body, vision problems, or speech problems']","['Radiotherapy is a treatment where a beam of\xa0high-energy radiation\xa0is focused on the tumour to kill the cancerous cells. It can be used after surgery or as the main treatment for tumours that\xa0are difficult to remove.', 'Radiotherapy is\xa0usually given in several doses (fractions) spread over the course of a week. An entire course of treatment will usually last up to 6 weeks in total.', 'Possible side effects of radiotherapy for a brain tumour include nausea, temporary hair loss, tiredness and red, sore skin. Read more about the side effects of radiotherapy .', 'In a small\xa0number of cases, a similar treatment called\xa0proton beam therapy may be recommended. However, this is only suitable in very specific cases and currently, you’ll need to be referred\xa0for treatment abroad if your doctor thinks it’s appropriate.']"
Malnutrition,"['Malnutrition can be difficult to recognise. It can happen very gradually, which can make it very difficult to spot in the early stages.', 'Common signs and symptoms of malnutrition include:', 'loss of appetite and lack of interest in food or fluids', 'unplanned weight loss – this might cause clothing, rings, watches or dentures to become loose', 'tiredness or low energy levels', 'reduced ability to perform everyday tasks like showering, getting dressed or cooking', 'reduced muscle strength – for example, not being able to walk as far or as fast as usual', 'changes in mood which might cause feelings of lethargy and depression', 'poor concentration', 'poor growth in children', 'increased risk of infection, recurrent infections, taking longer to recover and poor wound healing', 'difficulty keeping warm', 'dizziness']","['If you’ve lost weight or your appetite is poor, you can make simple changes to your meals, snacks and drinks to help treat malnutrition.', 'Choosing nutrient-dense food and drinks can help improve your calorie intake. This might not be suitable for everyone, especially those with other conditions like dysphagia. Ask your GP, dietitian or nurse for further advice if you’re unsure.']"
Managing genital symptoms,['Information not available'],['Information not available']
Measles,"['The first symptoms of measles develop around 10 days after you’re infected. These can include:', 'cold-like symptoms, such as a runny nose, sneezing, and a cough', 'sore, red eyes that may be sensitive to light', 'watery eyes', 'swollen eyes', 'a high temperature (fever), which may reach around 40°C (104°F)', 'small greyish-white spots in the mouth', 'aches and pains', 'loss of appetite', 'tiredness, irritability and a general lack of energy']","['There are things you can do to help relieve your symptoms.', 'In severe cases, especially if there are complications, you or your child may need to be admitted to hospital for treatment.']"
Meningitis,"['Symptoms of meningitis develop suddenly and can include:', 'a high temperature (fever) over 37.5C (99.5F)', 'being sick', 'a headache', 'a blotchy rash that doesn’t fade when a glass is rolled over it (this won’t always develop)', 'a stiff neck', 'a dislike of bright lights', 'drowsiness or unresponsiveness', 'seizures (fits)']","['Treatment in hospital is recommended in all cases of bacterial meningitis, as the condition can cause serious problems and requires close monitoring.', 'Severe viral meningitis may also be treated in hospital.', 'Treatments include:', 'antibiotics given directly into a vein', 'fluids given directly into a vein to prevent dehydration', 'oxygen through a face mask if there are any breathing difficulties', 'steroid medication to help reduce any swelling around the brain, in some cases']"
Meniere’s disease,"['The symptoms and severity of Ménière’s disease vary widely from person to person.', 'The main symptoms of Ménière’s disease are:', 'vertigo – the feeling that you, or the environment around you, is moving or spinning', 'tinnitus – hearing sounds from inside your body, rather than from an outside source', 'hearing loss , with a particular difficulty hearing deep or low sounds', 'a feeling of pressure or fullness deep inside the ear', 'feeling or being sick']","['Ménière’s disease cannot be cured, but treatment can usually help your symptoms.', 'Possible treatments include:', 'medicines to treat the symptoms and prevent attacks', 'changes to your eating habits, such as a low-salt diet', 'treatment for tinnitus', 'treatment for hearing loss', 'balance training (vestibular rehabilitation)', 'relaxation techniques', 'surgery – only rarely, in more severe cases']"
Menopause,['Information around the symptoms of menopause'],['Information about hormone replacement therapy (HRT)']
Mesothelioma,"['The symptoms of mesothelioma tend to develop gradually over time. They typically don’t appear until several decades after exposure to asbestos.', 'Symptoms of mesothelioma in the lining of the lungs\xa0include:', 'chest pain', 'shortness of breath', 'fatigue (extreme tiredness)', 'a high temperature (fever) and sweating, particularly at night', 'a persistent cough', 'loss of appetite and unexplained weight loss', 'clubbed (swollen) fingertips']","['The best treatment for mesothelioma depends on several factors, including how far the cancer has spread and your general health.', 'As mesothelioma is often diagnosed at an advanced stage, treatment is usually focused on controlling the symptoms and prolonging life for as long as possible.\xa0This is known as palliative or supportive care .', 'Possible treatments include:', 'chemotherapy – this is the main treatment for mesothelioma and involves using medicine to help shrink the cancer', 'radiotherapy – this involves using\xa0high-energy radiation to kill cancer cells and it may be used to slow the cancer down and keep it under control', 'surgery –\xa0an operation to remove the cancerous area can be done if mesothelioma is detected at a very early stage, although it’s not clear whether surgery is helpful']"
Metacarpal fracture of the hand,"['You should contact your insurance provider before driving as your injury may affect your insurance.', 'Once you’re out of your splint, the general advice is that you must be able to safely perform an emergency stop or manoeuvre.', 'You should always be in full control of your vehicle.']","['Some medications can slow down fracture healing. If you have concerns about your medication talk to a healthcare professional.', 'Anti-inflammatory medication, like Ibuprofen or Naproxen, have been shown to delay healing.']"
Middle ear infection (otitis media),"['The main symptoms of a middle ear infection include:', 'earache', 'a high temperature (fever)', 'being sick', 'a lack of energy', 'slight hearing loss – if the middle ear becomes filled with fluid']","['Most ear infections get better on their own within 3 to 5 days and do not need any specific treatment.', 'If needed, paracetamol or ibuprofen can be used to relieve pain and a high temperature. Always read the leaflet that comes with your medicine before taking it. Follow the recommended dosage instructions. If you’re not sure which treatments are suitable for you or your child, speak to a pharmacist for advice.', 'Placing a warm cloth over the affected ear may also help relieve pain.', 'Antibiotics are not usually used to treat middle ear infections.']"
Migraine,"['The main symptom of migraine is usually an intense headache on one side of the head. In some cases, the pain can occur on both sides of your head and may affect your face or neck.', 'The pain might get worse when you move and may stop you from carrying out normal activities.', 'Other symptoms associated with migraine include:', 'nausea', 'vomiting', 'increased sensitivity to light and sound – which is why many people with a migraine headache want to rest in a quiet, dark room', 'sweating', 'poor concentration', 'feeling very hot or very cold', 'abdominal (tummy) pain', 'diarrhoea', 'dizziness (light headedness)']","['Your GP may decide to refer you to a neurologist (a specialist in conditions affecting the brain and nervous system). They’ll do further assessments and offer treatment if:', 'a diagnosis is unclear', 'you experience significant migraine headaches that aren’t being controlled by your current treatment', 'Read about the prevention and treatment of migraine']"
Minor head injury,"['Minor head injuries often cause a bump or bruise. Other symptoms of a minor head injury may include:', 'a mild headache', 'nausea (feeling sick)', 'dizziness', 'blurred vision']","['Most people who go to hospital with a minor head injury can return home shortly afterwards. They should make a full recovery within a few days.', 'There are some things you can do to manage minor head injuries at home. You should:', 'have someone stay with you for 24 hours after the injury to watch for serious symptoms appearing', 'get plenty of rest', 'avoid stressful or noisy situations', 'limit screen time (including smartphones)', 'take paracetamol or ibuprofen to help with mild pain, following all instructions on the packaging', 'use a cold compress (like a bag of frozen peas wrapped in a tea towel) to help soothe the injury', 'keep children with a head injury calm, and encourage them to avoid rough play']"
Miscarriage,"['You’ll probably have some bleeding for a week or two. If you continue to have symptoms after your miscarriage, it may mean that some of the pregnancy tissue’s still in your womb.', 'Some women may need medicine or a short operation to treat this.', 'If you’re worried about seeking treatment, maybe a friend can come with you. Having support’s really important at this difficult time.']","['Having some light bleeding’s fairly common in the first 12 weeks of pregnancy and doesn’t necessarily mean you’re having a miscarriage.', 'If you start bleeding, you should always contact your GP or midwife and get advice about what to do.']"
Motor neurone disease (MND),"['The symptoms of MND start gradually over weeks and months. They tend to appear on one side of the body first and get progressively worse.', 'There are usually 3 stages of symptoms.']","['Although there’s no cure for MND, there are treatments available to help relieve the symptoms.', 'A team of healthcare professionals will work together to help care for you. This multidisciplinary team typically includes:', 'a neurologist and an MND care specialist', 'a specialist in breathing (respiratory specialist)', 'physiotherapists to advise on mobility aids', 'occupational therapists to assess the need for adaptations to living environments', 'speech and language therapist to provide help with communication and swallowing', 'dieticians to support nutrition']"
Mouth cancer,"['Mouth cancer can develop on most parts of the mouth, including the lips, gums and occasionally, the throat.', 'The most common symptoms of mouth cancer include:', 'red or white patches in the mouth or throat', 'a lump', 'ulcers']","['If the cancer hasn’t spread beyond the mouth or the oropharynx (the bit of your throat at the back of your mouth), a complete cure may be possible using a combination of surgery, radiotherapy and chemotherapy.', 'If the cancer has spread to other parts of the body, then a cure is unlikely but it will be possible to slow the progress of the cancer and help relieve symptoms by using surgery, radiotherapy and chemotherapy.', 'Deciding what treatment is best for you can be difficult. Your care team will make recommendations, but the final decision will be yours.', 'Before going to hospital to discuss your treatment options, you may find it useful to write a list of questions to ask the specialist. For example, what are the advantages and disadvantages of particular treatments.']"
Mouth ulcer,"['In a few cases, a long-lasting mouth ulcer can be a sign of mouth cancer . If mouth cancer is detected early, the chances of a complete recovery are good. Regular dental check-ups are the best way to detect the early signs.']","['If you have a dental problem you should always phone your dentist first. If you’re not registered with any dental practice then you should read our advice on dental emergencies .', 'Your pharmacist may advise that you see your GP or dentist if:', 'your mouth ulcer has lasted 3 weeks', 'you keep getting mouth ulcers', 'the mouth ulcer grows bigger than usual or is near the back of your throat', 'your mouth ulcer becomes more painful or red – this could be a sign of a bacterial infection, which may need treatment with antibiotics']"
Multiple myeloma,"['In the early stages, myeloma may not cause any symptoms. It’s often only suspected or diagnosed after\xa0a routine blood or urine test.', 'However, myeloma will eventually cause a wide range of\xa0problems, including:', 'a persistent dull ache or specific areas of tenderness in your bones', 'weak bones that\xa0break (fracture)\xa0easily', 'tiredness, weakness and shortness of breath (caused by anaemia )', 'repeated infections', 'less commonly, bruising\xa0and unusual bleeding – such as frequent nosebleeds , bleeding gums and\xa0heavy periods']","['If you have multiple myeloma, you will be cared for by a team, which is usually led by a consultant haematologist who specialises in myeloma.', 'The team will discuss your condition and recommend the best treatment for you. However, the final decision will be yours.', 'Before visiting hospital to discuss your treatment options, it may be useful to write a list of questions to ask the specialist. For example, you may want to find out the advantages and disadvantages of a particular treatment.', 'There are 2 main aims in treating multiple myeloma:', 'to bring the myeloma under control', 'to prevent and treat problems associated with myeloma, such as anaemia and bone pain']"
Multiple sclerosis (MS),"['Multiple sclerosis (MS) can cause a wide range of symptoms and can affect any part of the body. It affects everyone differently.', 'The symptoms are unpredictable. Some people’s symptoms develop and worsen over time, while for others, they come and go.', 'Periods when symptoms get worse are known as relapses. Periods when symptoms improve or disappear are known as remissions.', 'Some of the most common symptoms include:']","['Although there isn’t a cure for MS, there are medicines that can help to reduce the number and severity of relapses in some people. These are called disease-modifying therapies or disease modifying drugs.', 'These reduce the amount of damage and scarring to the myelin sheath (layer surrounding your nerves), associated with MS relapses.', 'These treatments reduce the chances of developing progressive symptoms of MS. They might also help to slow worsening disability in MS.', 'Disease-modifying therapies are not suitable for everyone with MS. They’re only prescribed to those with either:', 'relapsing remitting MS', 'secondary progressive MS who meet certain criteria, like the number of relapses they’ve had', 'primary progressive MS who meet certain criteria like new lesions found by an MRI scan']"
Multiple system atrophy (MSA),"['Everyone with MSA will experience different symptoms. Symptoms often start between the ages of 50 and 60, but they can begin anytime from the age of 30.', 'You’re likely to experience muscle control or balance problems, like those of Parkinson’s disease or Ataxia . It’s a progressive disease which means symptoms will worsen over a period of time.', 'MSA can cause symptoms including:', 'bladder problems like a constant need to pee, loss of bladder control ( urinary incontinence ) or being unable to pee', 'low blood pressure when standing up which might cause dizziness or fainting (postural hypotension)', 'erection problems like erectile dysfunction', 'problems with co-ordination, balance and speech (cerebellar ataxia)', 'tremor, slowness and muscle stiffness', 'constipation']","['You can choose to have palliative care at any stage of\xa0MSA in addition to other treatments.', 'The aim of palliative care is to relieve pain and other symptoms alongside psychological, spiritual and social support.', 'You might receive palliative care:', 'at home', 'in a hospice or care home', 'as an outpatient in a hospital', 'in a hospital']"
Mumps,"['The symptoms of mumps usually develop 14 to 25 days after you’re infected.', 'Mumps causes painful swellings at the side of the face under the ears (the parotid glands). It gives a distinctive ‘hamster face’ appearance.', 'Other symptoms of mumps can include:', 'headaches', 'joint pain', 'feeling sick', 'dry mouth', 'mild stomach (abdominal) pain', 'feeling tired', 'loss of appetite', 'a high temperature (fever) of 38°C (100.4°F), or above']",['There are things you can do to help relieve your symptoms.']
Munchausen’s syndrome,"['Warning signs that somebody may have Munchausen’s syndrome include:', 'frequent visits to hospitals in different areas', 'claiming to have a history of complex and serious medical conditions, yet there is little documentary evidence to support this; a common ruse is for people to claim they have spent a long time out of the country', 'symptoms that do not correspond to the results of tests', 'symptoms that get worse for no apparent reason', 'the person has a extremely good medical knowledge', 'the person receives very few, or no, visitors in hospital; many people with Munchausen’s syndrome adopt a solitary lifestyle and have little contact with any friends of family', 'a willingness to undergo often painful or dangerous tests and procedures', 'if confronted about their behaviour, they can become aggressive and will try to leave the hospital']","['As mentioned, treating Munchausen’s syndrome can be very difficult as most people with the condition will refuse to admit they have a problem and will not co-operate with suggested treatment plans.', 'Because of this, some experts have suggested that health professionals adopt a gentle, non-confrontational approach. So rather than directly accuse a person of lying, they may gently suggest that they have complex health needs that may benefit from a referral to a psychiatrist. Still, even with this approach, many people refuse, or simply move to another area.', 'For people who do admit they have a problem, and co-operate with treatment, it may be possible to help them control the symptoms of Munchausen’s syndrome.', 'There is no standard treatment for the condition, but a combination of psychoanalysis and cognitive behavioural therapy (CBT)\xa0has proved relatively successful in helping people control their symptoms.', 'Psychoanalysis is a type of psychotherapy that is based on the theories of Sigmund Freud. Freud suggested that unconscious beliefs or motivations, often formed during early childhood, can lay at the root of many psychological conditions. Psychoanalysis attempts to uncover and then resolve these unconscious beliefs and motivations.']"
Muscular dystrophy,"['Read about Becker muscular dystrophy symptoms, diagnosis and treatment']","['Read about Becker muscular dystrophy symptoms, diagnosis and treatment']"
Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS),"['The symptoms of\xa0the condition vary from person to person. There may be times when your symptoms improve and you’ll be able to do some normal everyday activities. At other times, symptoms may get worse, affecting your daily life.', 'If you experience new symptoms, talk to your GP or specialist as the new symptoms may be unrelated to ME/CFS. Women often find that symptoms worsen at different times in their menstrual cycle. Not everyone will experience all of the symptoms.']","['Although there’s no cure for ME/CFS, there are ways to help manage your symptoms.', 'Because of the complexity of the illness different things work for different people. Your GP may be able to support you through managing your individual symptoms.', 'To decide what treatment is right for you, you should look at the evidence, including published research and patient surveys. Make sure you fully understand what the treatment involves before you make a decision. You have the right to decline any treatment option you do not feel comfortable with.', 'Your GP may suggest some of the following treatment options.']"
Myasthenia gravis,"['The first symptoms of myasthenia gravis are often droopy eyelids or double vision. It usually affects the eyes first and may spread to other parts of the body. It can take weeks, months or years for symptoms to develop in other parts of the body.', 'The severity of the symptoms is different for each person. It’s likely that your symptoms will tend to get worse when you’re tired. The symptoms might improve after resting.', 'Symptoms can include:']","['There are treatments available that can help reduce the affects of your symptoms.', 'If your symptoms get worse following certain triggers, you should try to avoid those triggers as much as possible.', 'Triggers might include:', 'stress', 'tiredness', 'infections', 'medicines', 'surgery']"
Nasal and sinus cancer,"['The most common symptoms of nasal and sinus cancer are:', 'a persistent blocked nose, which usually only affects 1 side', 'nosebleeds', 'mucus draining from the nose, which may be blood-stained', 'a decreased sense of smell']","['The best treatment depends on several factors, including how far the cancer has spread and your general health.', 'Treatment may include:', 'surgery to remove a tumour –\xa0which can be performed using surgical incisions (open surgery) or as keyhole surgery through the nose (endoscopic microsurgery)', 'radiotherapy –\xa0where\xa0high-energy radiation is used\xa0to kill the cancerous cells, shrink a tumour before surgery, or destroy small amounts of a tumour that may be left after surgery', 'chemotherapy –\xa0where medicine is used\xa0to help shrink or slow down the growth of a tumour, or to reduce the risk of the cancer returning after surgery']"
Nasopharyngeal cancer,"['It’s often difficult to recognise nasopharyngeal cancer because the symptoms are similar to other, less serious conditions. Also, many people with nasopharyngeal cancer don’t have any symptoms until the cancer reaches an advanced stage.', 'Symptoms of nasopharyngeal cancer can include:', 'a\xa0lump in the neck', 'hearing loss – usually only in 1 ear', 'tinnitus – hearing sounds that come\xa0from inside the body rather than from an outside source', 'a blocked or stuffy nose', 'nosebleeds']","['Radiotherapy is the most commonly used treatment for nasopharyngeal cancer. It can be used on its own to treat very early-stage cancers, or in combination with chemotherapy for more advanced cancers.', 'In most cases, external radiotherapy is used. This involves using a machine to focus high-energy radiation beams on to the area that requires treatment.', 'In nasopharyngeal cancer, an advanced form of external radiotherapy called intensity-modulated radiation therapy (IMRT) is used.', 'It\xa0involves aiming radiation beams of different strengths at a tumour from several different angles. This helps maximise the dose delivered to the tumour, while minimising the effect on the surrounding healthy tissue.', 'Stereotactic radiotherapy is another way of giving radiotherapy externally and may be used to target a specific area where the cancer has returned.']"
Neck problems,"['Following this advice, you should see gradual improvements over time.', 'You should see the biggest change in your symptoms within the first couple of weeks. Most problems should have improved within 6 weeks.', 'If your neck problem hasn’t improved within 6 weeks of following this advice, it’s a good idea to talk to a healthcare professional about your symptoms.', 'Find out how to access MSK services in your area.']","['Remember to never place ice or heat directly on your skin. Use a barrier, such as a towel, to protect your skin from a burn. How long you use ice as a treatment can depend on the painful area but generally up to 15 minutes leaving a few hours between treatments.', 'You should stop treating the area with ice or heat and seek advice from a medical professional if you notice an increase in redness, discolouration or blistering of the skin.', 'If you have any issues with circulation or sensation, you shouldn’t use ice or heat as a treatment for neck pain.']"
Neuroblastoma: Children,"['The symptoms vary, depending on where your child’s neuroblastoma tumour is:', 'if the tumour is in the abdomen, your child’s tummy may be swollen and they may complain of constipation or have difficulty passing urine (peeing)', 'if the tumour affects the chest area, your child may be breathless and have difficulty swallowing', 'if the tumour occurs in the neck, it’s often visible as a lump and occasionally affects breathing and swallowing', 'occasionally, there are deposits of neuroblastoma in the skin that appear as small, blue-coloured lumps', 'if the tumour is pressing on the spinal cord, children may have weakness in the legs and walk unsteadily – if your child is not yet walking, you may notice reduced leg movements; they may also have constipation or difficulty passing urine (peeing)', 'your child may be found to have high blood pressure', 'very rarely, children may have jerky eye and muscle movements, and general unsteadiness associated with the neuroblastoma']","['If the tumour has already spread by the time of diagnosis, or is indicated as being high-risk by the tumour biology result, intensive chemotherapy is needed. Chemotherapy is the use of anti-cancer drugs to destroy cancer cells. It’s usually given as an infusion into a vein. Your child will have a semi-permanent cannula called a central venous line inserted under a general anaesthetic to minimise the distress caused by intravenous injections.', 'Your child’s specialist will discuss with you the type and amount of chemotherapy needed.']"
Neuroendocrine tumours,"['The symptoms of\xa0a\xa0neuroendocrine tumour\xa0can vary depending on where it is and what hormones it produces.', 'For example,\xa0a\xa0tumour in the digestive system may cause diarrhoea , constipation or tummy pains. A tumour in the lung may cause wheezing or a persistent cough .', 'Some tumours (functioning tumours) may cause abnormally large amounts of hormones to be released into the bloodstream.', 'This can\xa0cause symptoms such as diarrhoea, flushing, cramps, wheezing, low blood sugar (hypoglycaemia), changes in blood pressure and heart problems.']","['How a neuroendocrine tumour is treated will depend on your\xa0individual circumstances. For example, your treatment will depend on:', 'where the tumour is', 'how advanced your condition is', 'your overall\xa0health', 'Unfortunately, many people are only diagnosed after other parts of their body are affected. However, it may still be possible to\xa0surgically remove the tumour, even if it has spread to other parts of your body.']"
